interval_id,timing_scope,strict_eligible,model,effort,calls,sessions,uncached,cached,output,reasoning,standard_usd,standard_eur,write_upper_eur,september6_reference_usd,unpriced_calls,uncertain_price_calls,long_context_calls,unknown_tier_calls,different_reset_calls,missing_reset_calls
138,interior,1,gpt-5.6-sol,max,842,14,5088135,117596928,398770,105225,96.202239,83.16956773580011,88.66811424742802,75.3667112,0,0,0,842,0,0
138,nominal,1,gpt-5.6-sol,max,897,14,5306955,126012416,426160,113365,102.325783,88.4635454309674,94.1985620731391,80.1559864,0,0,0,897,0,0
139,enclosing,1,gpt-5.6-sol,max,990,13,3910045,127546624,419382,116340,95.904997,82.91259358519928,87.13802476873865,75.04646960000001,0,0,0,990,0,0
139,interior,1,gpt-5.6-sol,max,851,12,3381595,109946880,359485,98776,82.665965,71.46707443589521,75.1214305783695,64.694832,0,0,0,851,0,0
139,nominal,1,gpt-5.6-sol,max,910,13,3751916,116797696,387136,106661,88.772508,76.74635428373821,80.80090170312094,69.4694624,0,0,0,910,0,0
140,enclosing,1,gpt-5.6-sol,max,552,11,3948113,75114752,308933,78760,66.565931,57.54813780582692,61.81470757326878,52.0170128,0,0,0,552,0,0
140,interior,1,gpt-5.6-sol,max,498,11,3575017,67935744,285079,75441,60.395327,52.21347540416702,56.07685506181378,47.1759456,0,0,0,498,0,0
140,nominal,1,gpt-5.6-sol,max,518,11,3707668,70922752,293966,77011,62.818696,54.30854672776,58.31527708135212,49.0790928,0,0,0,518,0,0
141,enclosing,1,gpt-5.6-sol,max,629,11,3693906,87284736,295686,69704,70.982478,61.36636811619261,65.35822641998789,55.6032384,0,0,0,629,0,0
141,interior,1,gpt-5.6-sol,max,566,11,2955420,78716416,263305,63852,62.034458,53.63055070459064,56.82435635860638,48.5743464,0,0,0,566,0,0
141,nominal,1,gpt-5.6-sol,max,592,11,3367486,81867008,281501,68634,66.215964,57.245581395348836,60.88469049883288,51.8467672,0,0,0,592,0,0
142,enclosing,1,gpt-5.6-sol,max,767,14,4789544,109682944,361890,103964,89.645892,77.5014195556324,82.67729056799516,70.2691536,0,0,0,767,0,0
142,interior,1,gpt-5.6-sol,max,685,13,4214746,97568256,321317,95005,79.497368,68.72773234200743,73.28244186046511,62.3126264,0,0,0,685,0,0
142,nominal,1,gpt-5.6-sol,max,723,13,4520195,102891520,338409,98801,84.199005,72.79243105386011,77.67722724128987,66.005568,0,0,0,723,0,0
237,enclosing,1,gpt-5.6-sol,max,1701,27,6870542,214250368,768553,282143,128.5533752,109.88407145909908,115.7568315240619,128.5533752,0,0,0,1701,0,0
237,interior,1,gpt-5.6-sol,max,1394,23,5379137,178215296,628755,229768,105.3777664,90.07416565518422,94.67211163347295,105.3777664,0,0,0,1394,0,0
237,nominal,1,gpt-5.6-sol,max,1547,26,6211372,195564672,702080,256410,117.1129568,100.10510026497992,105.41441901017181,117.1129568,0,0,0,1547,0,0
238,enclosing,0,gpt-5.6-sol,max,61,1,133953,6128768,34643,7405,3.6801792,3.145721172749808,3.260220702624156,3.6801792,0,0,0,61,0,0
238,enclosing,1,gpt-5.6-sol,max,4168,59,13399718,480157952,1995272,844183,285.5674928,244.09564304641424,255.5493724249936,285.5674928,0,0,0,4168,0,0
238,interior,0,gpt-5.6-sol,max,61,1,133953,6128768,34643,7405,3.6801792,3.145721172749808,3.260220702624156,3.6801792,0,0,0,61,0,0
