account,segment,strict_eligible,model,effort,calls,sessions,uncached,cached,output,reasoning,standard_usd,standard_eur,write_upper_eur,september6_reference_usd,unpriced_calls,different_reset_calls,missing_reset_calls
A04,7,1,gpt-5.5,medium,354,1,2656756,54618880,94328,12480,43.42306,37.362811908449494,37.362811908449494,43.42306,0,0,0
A04,7,1,gpt-5.6-luna,max,209,4,1631666,27848448,151148,62717,1.06467976,0.9160899673033902,0.9862872655308897,1.06467976,0,0,0
A04,7,1,gpt-5.6-sol,max,13145,36,33443699,1764253056,4881483,1841992,937.1056784,806.3204942350715,835.0966936843918,937.1056784,0,0,0
A04,7,1,gpt-5.6-terra,high,373,3,1882859,46020864,156563,34820,14.848646800000001,12.776326621923939,13.586367492686286,14.848646800000001,0,0,0
A04,7,1,gpt-6-astra,high,3063,27,12636324,408118656,777556,172450,573.359696,493.33995525727073,520.5218602650147,573.359696,0,0,0
A04,7,1,gpt-6-astra,low,63,1,226170,10635904,5505,130,13.172854,11.334412321459302,11.820924969884702,13.172854,0,0,0
A04,8,0,gpt-6-astra,high,49,1,377072,7268352,9107,665,11.494422,9.89022715539494,10.7013440027534,11.494422,0,0,0
A04,8,1,gpt-5.6-luna,max,77,2,482019,11633664,78366,27176,0.42311628,0.3640649457924626,0.3848022973670625,0.42311628,0,0,0
A04,8,1,gpt-5.6-terra,high,5,1,163497,633856,1568,64,0.47258120000000003,0.4066263982102909,0.4769658406470488,0.47258120000000003,0,0,0
A04,8,1,gpt-6-astra,high,5387,24,17611411,709451520,861907,132108,928.66098,799.0543624161074,836.9381410256411,928.66098,0,0,0
A04,8,1,gpt-6-astra,low,11,1,188144,1833088,990,10,3.764028,3.238709344346929,3.643424539666151,3.764028,0,0,0
A04,8,1,gpt-6-astra,max,77,1,662195,9399168,60809,33919,19.061568,16.401280330407847,17.825723197384274,19.061568,0,0,0
A05,3,0,gpt-5.6-sol,max,33,1,172075,4010752,27481,11263,3.690181,3.2285048118985125,3.416688320209974,2.8422208,0,0,0
A05,3,1,gpt-5.5,medium,38,1,210659,6786816,9849,1184,4.742173,4.148882764654418,4.148882764654418,4.742173,0,0,0
