account,segment,start_at,last_at,reset,reset_spread,min_used,max_used,observations,max_gap_seconds,end_at,start_used,previous_reset,delta_pp,credit,bank_evidence,transition_grade
A08,4,1783791193.183046,1783794145.877412,1784382658,0,32.0,32.0,4,2499.1687030792236,1783791193.183046,32.0,1784357863,0.0,,,unexplained_early_replacement
A08,5,1784600190.221485,1784631667.597536,1785008448,0,100.0,100.0,63,16618.35900402069,1784600190.221485,100.0,1784382658,0.0,,,ordinary_expiry_compatible
A08,6,1785540041.880072,1785554972.365511,1785902980,2,100.0,100.0,51,4868.1010529994965,1785540041.880072,100.0,1785008448,0.0,,,ordinary_expiry_compatible
A08,7,1785696435.349386,1786017162.055493,1786160428,3,2.0,100.0,684,59535.992008924484,1785772018.69452,2.0,1785902980,98.0,,,unexplained_early_replacement
A08,8,1786470314.99625,1786550437.004521,1787011729,1,1.0,34.0,103,915.1635060310364,1786536021.826066,1.0,1786160428,33.0,,,ordinary_expiry_compatible
A08,9,1786662020.537909,1787196630.978826,1787197400,2,1.0,100.0,692,924.3340690135956,1786723121.069133,1.0,1787011729,99.0,C005,direct_guardian_redemption,direct_guardian_redemption
A08,10,1787388330.737203,1787531425.747746,1787804131,2,1.0,100.0,161,923.8172450065613,1787468423.580354,1.0,1787197400,99.0,,,ordinary_expiry_compatible
A08,11,1787571932.631063,1787666418.337831,1788138400,0,1.0,100.0,106,1044.811893939972,1787601623.185015,1.0,1787804131,99.0,,,unexplained_early_replacement
A08,12,1787707820.823017,1787837418.895863,1788275575,0,1.0,100.0,146,1529.4786629676819,1787734833.414462,1.0,1788138400,99.0,,,unexplained_early_replacement
A08,13,1787841021.447974,1787847323.059303,1788443200,1,1.0,21.0,8,914.8563339710236,1787847323.059303,1.0,1788275575,20.0,C011,credit_loss_and_new_window,credit_loss_and_new_window
A08,14,1787848229.210872,1788038197.177744,1788452803,4,1.0,100.0,587,46999.68762207031,1787877171.35759,1.0,1788443200,99.0,,,unexplained_early_replacement
A08,15,1788080316.974053,1788143106.224489,1788643485,1,1.0,100.0,280,445.54217290878296,1788127728.047186,1.0,1788452803,99.0,,,unexplained_early_replacement
A08,16,1788187819.248846,1788725738.29829,1788788194,8,1.0,100.0,2408,702.9898979663849,1788242225.495791,1.0,1788643485,99.0,,,unexplained_early_replacement
